n,p,k,temperature,humidity,ph,rainfall,label,npk_total,n_to_p_ratio,n_to_k_ratio,p_to_k_ratio,npk_balance,moisture_index,heat_stress,gdd_proxy,is_low_rainfall,is_high_rainfall,is_very_high_rainfall,is_cool,is_hot,is_very_hot,temperature_squared,rainfall_squared,ph_deviation,is_acidic,is_alkaline,is_very_acidic,is_very_alkaline,is_extreme_acidic,ph_deviation_squared,ph_n_interaction,ph_p_interaction
90,42,43,20.87974371,82.00274423,6.502985292000001,202.9355362,rice,175,2.1428570918367362,2.0930232071389954,0.9767441633315311,27.42869543622761,16.64127087018651,0.15832972560918696,42.37241985507428,1,0,0,0,0,0,435.96369739528456,41182.83185278151,0.002985292000000861,0,0,0,0,0,8.91196832526914e-06,585.26867628,273.12538226400005
85,58,41,21.77046169,80.31964408,7.038096361,226.6555374,rice,184,1.4655172161117722,2.073170681142179,1.4146341118381924,22.188585654190156,18.20489209272913,0.34843316201924723,49.34395693793063,1,0,0,0,0,0,473.95300219575773,51372.73263408279,0.538096361,0,0,0,0,0,0.28954769372144235,598.238190685,408.209588938
60,55,44,23.00445915,82.3207629,7.840207144,263.9642476,rice,159,1.0909090710743805,1.3636363326446288,1.2499999715909098,8.18535277187245,21.729738240756497,0.5311654567011442,60.72354750974686,1,0,0,0,0,0,529.2051407840187,69677.12401103412,1.3402071439999999,0,1,0,0,0,1.7961551888286362,470.41242864,431.21139292
74,35,40,26.49109635,80.15836264,6.980400905,242.8640342,rice,149,2.1142856538775527,1.8499999537500014,0.8749999781250006,21.221058723196006,19.467583325616964,1.2879397984551957,64.33734529941894,1,0,0,0,0,0,701.7781858249833,58982.93910789877,0.48040090499999977,0,0,0,0,0,0.2307850295248188,516.54966697,244.314031675
78,42,42,20.13017482,81.60487287,7.628472891,262.7173405,rice,162,1.8571428129251712,1.8571428129251712,0.9999999761904769,20.784609690826528,21.439015172247,0.02394582363024878,52.88545992510466,1,0,0,0,0,0,405.22393828376204,69020.40099939292,1.1284728910000004,0,1,0,0,0,1.2734510657218987,595.020885498,320.395861422
69,37,42,23.05804872,83.37011772,7.073453503,251.0549998,rice,148,1.8648648144631133,1.6428571037414976,0.8809523599773248,17.21433511156714,20.930484887520574,0.5085499022010467,57.88838416787989,1,0,0,0,0,0,531.6736107738935,63028.612924577996,0.5734535029999996,0,0,0,0,0,0.3288489201029706,488.06829170699996,261.71777961099997
69,55,38,22.70883798,82.63941394,5.70080568,271.3248604,rice,162,1.2545454317355376,1.8157894259002785,1.44736838296399,15.524174696260024,22.42212745080831,0.47027014874386536,61.614722947697175,1,0,0,0,0,0,515.6913224018904,73617.17987107948,0.7991943199999998,1,0,0,0,0,0.6387115611202621,393.35559192,313.5443124
94,53,40,20.27774362,82.89408619,5.718627177999999,241.9741949,rice,187,1.773584872196512,2.3499999412500014,1.324999966875001,28.18391976523729,20.058229767796455,0.04751058424997376,49.06690686838111,1,0,0,0,0,0,411.18688631845066,58551.51099750318,0.7813728220000007,1,0,0,0,0,0.6105434869602447,537.5509547319999,303.08724043399997
89,54,38,24.51588066,83.53521629999999,6.685346424,230.4462359,rice,181,1.6481481176268868,2.3421052015235473,1.4210525941828265,26.08320021265284,19.250376161427326,0.743529982819133,56.49592417870608,1,0,0,0,0,0,601.028404535362,53105.46764047845,0.18534642399999957,0,0,0,0,0,0.03435329688958762,594.995831736,361.008706896
68,58,38,23.22397386,83.03322691,6.336253525,221.2091958,rice,164,1.1724137728894177,1.789473637119115,1.5263157493074804,15.275252316519467,18.36771334944002,0.5470043293071146,51.37356580850822,1,0,0,0,0,0,539.3529618499633,48933.50830648274,0.16374647499999995,0,0,0,0,0,0.026812908074925607,430.8652397,367.50270445
91,53,40,26.52723513,81.41753846,5.386167788,264.6148697,rice,184,1.716981099679602,2.2749999431250014,1.324999966875001,26.501572280401277,21.54429133088764,1.212920957657619,70.19500867426213,1,0,0,0,0,0,703.6942036423062,70021.02926634798,1.1138322120000002,1,0,1,0,0,1.2406221964888133,490.141268708,285.46689276399997
90,46,42,23.97898217,81.45061596,7.50283396,250.0832336,rice,178,1.9565216965973544,2.1428570918367362,1.0952380691609984,26.633312473917574,20.369433417988567,0.7380766835964256,59.96741399510344,1,0,0,0,0,0,574.9915859091778,62541.62372783217,1.0028339600000002,0,1,0,0,0,1.0056759513292821,675.2550564000001,345.13036216
78,58,44,26.80079604,80.88684822,5.108681786,284.4364567,rice,180,1.3448275630202144,1.7727272324380174,1.3181817882231412,17.08800749063506,23.007168501327506,1.2998464693734295,76.23123462356992,1,0,0,0,0,0,718.2826683776798,80904.09790005098,1.391318214,1,0,1,0,0,1.9357663726081498,398.477179308,296.303543588
